69.06602,-25,22.83618
34.33398,-25,22.83618
69.06602,25,22.83618
34.33398,25,22.83618
69.06602,25,18.56382
34.33398,25,18.56382
69.06602,-25,18.56382
34.33398,-25,18.56382
69.06602,25,22.83618
34.33398,25,22.83618
69.06602,25,18.56382
34.33398,25,18.56382
69.06602,-25,18.56382
69.06602,-25,22.83618
34.33398,-25,22.83618
34.33398,-25,18.56382
34.33398,-25,22.83618
34.33398,25,22.83618
34.33398,25,18.56382
34.33398,-25,18.56382
69.06602,-25,18.56382
69.06602,25,18.56382
69.06602,25,22.83618
69.06602,-25,22.83618
