222.3661,-25,16.03618
187.634,-25,16.03618
222.3661,25,16.03618
187.634,25,16.03618
222.3661,25,11.76382
187.634,25,11.76382
222.3661,-25,11.76382
187.634,-25,11.76382
222.3661,25,16.03618
187.634,25,16.03618
222.3661,25,11.76382
187.634,25,11.76382
222.3661,-25,11.76382
222.3661,-25,16.03618
187.634,-25,16.03618
187.634,-25,11.76382
187.634,-25,16.03618
187.634,25,16.03618
187.634,25,11.76382
187.634,-25,11.76382
222.3661,-25,11.76382
222.3661,25,11.76382
222.3661,25,16.03618
222.3661,-25,16.03618
