x轴坐标,y轴坐标,z轴坐标,x轴速度,y轴速度,z轴速度,x轴理想位置坐标,y轴理想位置坐标,z轴理想位置坐标
21.53881,-6.103516E-05,3.224937,-103.6471,9.307861E-05,-31.31359,-12.12436,0,-6.999999
20.9613,-9.155273E-05,3.06221,-127.9257,0.0002094269,-34.46478,-12.72423,-1.033089E-05,-7.01211
14.43997,-0.0001068115,1.301529,-130.8753,0.0002874489,-34.31377,-19.47794,-0.0002500874,-7.135791
12.41539,-0.0001373291,0.8147202,-131.2812,-0.0003705477,-28.99965,-21.55986,-0.0004134031,-7.097493
11.35074,-0.0001754761,0.5831451,-131.5053,-0.0008492621,-26.59618,-21.38529,-0.0004081097,-6.02202
10.59777,-0.000213623,0.4395218,-127.8279,-0.0008140064,-22.02902,-21.25309,-0.0004043908,-5.266964
9.834177,-0.00025177,0.3128662,-125.2365,-0.0007239595,-18.57427,-21.11007,-0.0004006407,-4.506265
8.991626,-0.000289917,0.1935654,-122.553,-0.0006017779,-15.1982,-20.9423,-0.0003965238,-3.672011
8.432947,-0.0003204346,0.1286316,-119.5358,-0.0004606373,-11.6334,-20.82441,-0.0003938065,-3.122066
7.793517,-0.0003509521,0.06855774,-117.5216,-0.0003364296,-9.048712,-20.68176,-0.0003907081,-2.495861
6.786397,-0.0003814697,-0.004005432,-115.1604,-0.0002075905,-6.335527,-20.44484,-0.0003858439,-1.514318
5.89334,-0.0004119873,-0.04393768,-111.3798,-7.07967E-05,-2.526344,-20.2238,-0.0003815438,-0.6481292
5.298213,-0.0004425049,-0.03884125,-30.66037,5.768567E-06,5.052736,-20.06907,-0.0003786852,-0.0734455
4.493819,-0.0004730225,0.009750366,-31.14105,2.514698E-05,6.546746,-19.84929,-0.0003748204,0.701865
3.603272,-0.00050354,0.07202148,-102.4682,0.0003007094,8.020573,-19.59438,-0.0003705455,1.557421
2.883706,-0.0005340576,0.1366577,-98.91714,0.0004627652,10.67167,-19.37879,-0.0003670913,2.246965
2.178493,-0.0005645752,0.2171097,-95.97695,0.0006192179,13.1243,-19.1578,-0.0003637031,2.921474
1.43656,-0.0005874634,0.3220596,-93.03865,0.0007744161,15.60827,-18.91478,-0.000360132,3.630292
0.3902922,-0.0006103516,0.5021439,-89.8931,0.0009075627,18.20457,-18.55667,-0.0003550805,4.62972
-0.365173,-0.0006332397,0.6617737,-85.43752,0.00104344,21.52843,-18.28609,-0.0003514128,5.352905
-1.032388,-0.0006561279,0.8282013,-27.31951,0.0003595879,10.17203,-18.03378,-0.0003481221,5.999373
-1.588794,-0.0006790161,0.9892578,-26.94444,0.0003746417,11.2631,-17.8121,-0.0003453368,6.544413
-2.319023,-0.0007019043,1.232048,-75.81894,0.001365295,28.86989,-17.51204,-0.0003417006,7.253034
